ids,Links,Price,version,borough,referencing_link,add_info,date_scraped
14520525,https://www.rightmove.co.uk/properties/14520525#/?channel=RES_BUY,550000.0,v0021_300622,"('Westminster', '5E93980')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93980&maxPrice=600000&minPrice=550000&sortType=1&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 24/05/2022 by Arlington Estates, London",2022-07-06 19:13:02
27953107,https://www.rightmove.co.uk/properties/27953107#/?channel=RES_BUY,400000.0,v0021_300622,"('Hillingdon', '5E93959')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93959&maxPrice=600000&minPrice=400000&sortType=1&index=48&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 16/06/2022 by Lawlors Estate Agents, Hayes",2022-08-14 10:33:29
33593487,https://www.rightmove.co.uk/properties/33593487#/?channel=RES_BUY,579950.0,v0021_300622,"('Richmond upon Thames', '5E61415')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61415&maxPrice=600000&minPrice=425000&sortType=1&index=216&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 11/07/2022 by Websters Estate Agents, Twickenham",2022-07-16 13:58:28
35271294,https://www.rightmove.co.uk/properties/35271294#/?channel=RES_BUY,370000.0,v0021_300622,"('Lambeth', '5E93971')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93971&maxPrice=600000&minPrice=325000&sortType=1&index=360&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 14/06/2021 by Griffin Property Co., Westcliff-on-Sea",2022-07-10 18:02:16
35429088,https://www.rightmove.co.uk/properties/35429088#/?channel=RES_BUY,599950.0,v0021_300622,"('Haringey', '5E61227')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61227&maxPrice=600000&minPrice=550000&sortType=1&index=216&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 14/07/2015 by Kinleigh Folkard & Hayward - Sales, Highgate",2022-08-16 16:23:41
44749111,https://www.rightmove.co.uk/properties/44749111#/?channel=RES_BUY,475000.0,v0021_300622,"('Sutton', '5E93974')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93974&maxPrice=600000&minPrice=475000&sortType=1&index=24&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 11/10/2021 by Connor Prince, Worcester Park",2022-08-18 21:54:18
45126814,https://www.rightmove.co.uk/properties/45126814#/?channel=RES_BUY,POA,v0021_300622,"('Newham', '5E61231')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61231&maxPrice=600000&minPrice=200000&sortType=1&index=144&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 16/09/2021 by Marvel & Co, Forest Gate",2022-08-15 19:55:06
46204665,https://www.rightmove.co.uk/properties/46204665#/?channel=RES_BUY,435000.0,v0021_300622,"('Brent', '5E93935')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93935&maxPrice=600000&minPrice=400000&sortType=1&index=168&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 08/10/2018 by Warwick Estate Agents, London",2022-08-10 15:44:56
49020666,https://www.rightmove.co.uk/properties/49020666#/?channel=RES_BUY,200000.0,v0021_300622,"('Ealing', '5E93947')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93947&maxPrice=600000&minPrice=150000&sortType=1&index=24&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 11/10/2021 by Brian Cox, Northolt",2022-07-30 23:32:00
49036279,https://www.rightmove.co.uk/properties/49036279#/?channel=RES_BUY,275000.0,v0021_300622,"('Newham', '5E61231')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61231&maxPrice=600000&minPrice=200000&sortType=1&index=168&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 16/09/2021 by Marvel & Co, Forest Gate",2022-08-15 19:55:06
49303873,https://www.rightmove.co.uk/properties/49303873#/?channel=RES_BUY,450000.0,v0021_300622,"('Havering', '5E61228')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61228&maxPrice=600000&minPrice=425000&sortType=1&index=240&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 28/03/2022 by MS Estates, Essex",2022-08-14 08:36:54
50134461,https://www.rightmove.co.uk/properties/50134461#/?channel=RES_BUY,275000.0,v0021_300622,"('Hounslow', '5E93962')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93962&maxPrice=600000&minPrice=250000&sortType=1&index=72&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:29:45
50135055,https://www.rightmove.co.uk/properties/50135055#/?channel=RES_BUY,265000.0,v0021_300622,"('Hounslow', '5E93962')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93962&maxPrice=600000&minPrice=250000&sortType=1&index=24&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:30:10
50135445,https://www.rightmove.co.uk/properties/50135445#/?channel=RES_BUY,270000.0,v0021_300622,"('Hounslow', '5E93962')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93962&maxPrice=600000&minPrice=250000&sortType=1&index=48&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 23/08/2017 by Monarch Residential, Isleworth",2022-08-07 22:29:30
52064391,https://www.rightmove.co.uk/properties/52064391#/?channel=RES_BUY,349950.0,v0021_300622,"('Hounslow', '5E93962')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93962&maxPrice=600000&minPrice=325000&sortType=1&index=96&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 14/12/2017 by Monarch Residential, Isleworth",2022-08-10 15:15:58
52187854,https://www.rightmove.co.uk/properties/52187854#/?channel=RES_BUY,450000.0,v0021_300622,"('Westminster', '5E93980')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93980&maxPrice=600000&minPrice=450000&sortType=1&index=24&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 06/06/2022 by Westways, London",2022-08-18 16:12:48
52675628,https://www.rightmove.co.uk/properties/52675628#/?channel=RES_BUY,490000.0,v0021_300622,"('Newham', '5E61231')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61231&maxPrice=600000&minPrice=475000&sortType=1&index=120&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Added on 30/11/2016 by Residential London, London",2022-07-16 10:48:34
52845963,https://www.rightmove.co.uk/properties/52845963#/?channel=RES_BUY,200000.0,v0021_300622,"('Croydon', '5E93944')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93944&maxPrice=600000&minPrice=200000&sortType=1&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 23/01/2019 by Homecastle Estate Agents, South Norwood",2022-08-07 22:25:40
52913496,https://www.rightmove.co.uk/properties/52913496#/?channel=RES_BUY,220000.0,v0021_300622,"('Ealing', '5E93947')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E93947&maxPrice=600000&minPrice=210000&sortType=1&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 09/03/2022 by Brian Cox, Northolt",2022-07-30 23:43:38
53171204,https://www.rightmove.co.uk/properties/53171204#/?channel=RES_BUY,450000.0,v0021_300622,"('Southwark', '5E61518')",https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E61518&maxPrice=600000&minPrice=400000&sortType=1&index=384&propertyTypes=bungalow%2Cdetached%2Cflat%2Csemi-detached%2Cterraced&includeSSTC=true&mustHave=&dontShow=retirement&furnishTypes=&keywords=,"Reduced on 14/08/2015 by Kinleigh Folkard & Hayward - Sales, London Bridge",2022-08-18 20:55:51
